Last Name,Title,First Name,FALSE,gender,age,class,embarked,country,ticketno,fare,sibsp,parch,survived,Role,Ticket,LifeBoat,Relationships,Child,BodyRecoverBoad
Astor,Colonel.,John Jacob,FALSE,male,47,1st,C,United States,17757,247.1006,1,0,no,,,,Married,,Cable Ship MacKay Bennett
Atā allāh,Miss.,Malakah,TRUE,female,,,,,,,,,,,,,Unmarried,,
Attala,Mr.,Sleiman,FALSE,male,27,3rd,C,Canada,2694,7.0406,0,0,no,,,,,,
Attalah,Miss.,Malake,FALSE,female,17,3rd,C,Lebanon,2627,14.0902,0,0,no,,,,,,
Aubart,Mme.,Léontine Pauline,FALSE,female,24,1st,C,France,17477,69.06,0,0,yes,1st Class Passenger,"17477
£69 6s",9,Unmarried,,
Augustsson,Mr.,Albert,FALSE,male,23,3rd,S,Sweden,347468,7.1701,0,0,no,,,,Unmarried,,
Auld,Mr.,James,TRUE,male,,,,,,,,,,,,,Married,,
Avery,Mr.,James Albert,FALSE,male,20,engineering crew,S,England,NA,NA,NA,NA,yes,Engineering Crew,,15,Unmarried,,
Ayling,Mr.,Edwin George,FALSE,male,23,victualling crew,S,England,NA,NA,NA,NA,no,,,,Married,,
Ayoub daher,Miss.,Banoura,FALSE,female,15,3rd,C,Lebanon,2687,7.0407,0,0,yes,,,,,,
Ayyūb-dāhir,Miss.,Bannūrah,TRUE,female,,,,,,,,,,,,,Unmarried,,
Back,Mr.,Charles Frederick,FALSE,male,37,victualling crew,B,England,NA,NA,NA,NA,no,,,,Married,,
Backström,Mr.,Karl Alfred,FALSE,male,32,3rd,S,Finland,3101278,15.17,1,0,no,,,,Married,,
Backström,Mrs.,Maria Mathilda,FALSE,female,33,3rd,S,Finland,3101278,15.17,3,0,yes,,,,Married,,
Baclini,Miss.,Eugenie,FALSE,female,3,3rd,C,Lebanon,2666,19.0502,2,1,yes,,,,,,
Baclini,Miss.,Helene Barbara,FALSE,female,0.75,3rd,C,Lebanon,2666,19.0502,2,1,yes,,,,,,
Baclini,Miss.,Marie Catherine,FALSE,female,5,3rd,C,Lebanon,2666,19.0502,2,1,yes,,,,,,
Baclini,Mrs.,Latifa,FALSE,female,23,3rd,C,Lebanon,2666,19.0502,0,3,yes,,,,,,
Badman,Miss.,Emily Louisa,FALSE,female,18,3rd,S,England,31416,8.01,0,0,yes,3rd Class Passenger,"31416
£8 1s",C*,Unmarried,,
Badt,Mr.,Mohamed,FALSE,male,40,3rd,C,Lebanon,2623,7.0406,0,0,no,,,,,,
Baggott,Mr.,Allen Marden,FALSE,male,28,victualling crew,S,England,NA,NA,NA,NA,yes,Victualling Crew,,9,Married,,
Bagley,Mr.,Edward Henry,FALSE,male,33,victualling crew,S,England,NA,NA,NA,NA,no,,,,Married,,
Bailey,Mr.,Henry Joseph,FALSE,male,46,deck crew,S,England,NA,NA,NA,NA,yes,Deck Crew,,16,Married,,
Bailey,Mr.,George,TRUE,male,,,,,,,,,,,,,Unmarried,,Cable Ship MacKay Bennett
Bailey,Mr.,Percy,FALSE,male,18,2nd,S,England,29108,11.1,0,0,no,,,,Unmarried,,
Bain,Mr.,David,TRUE,male,,,,,,,,,,,,,Married,,
Bainbrigge,Mr.,Charles Robert,FALSE,male,22,2nd,S,Channel Islands,31030,10.1,0,0,no,,,,Unmarried,,
Baines,Mr.,Richard,FALSE,male,24,engineering crew,S,England,NA,NA,NA,NA,no,,,,Unmarried,,
Baker,Mr.,John,TRUE,male,,,,,,,,,,,,,Married,,
Balkic(ć),Mr.,Cerin (Ćerim),FALSE,male,26,3rd,S,Bosnia,349248,7.1711,0,0,no,,,,Married,,
Ball,Mr.,Percy,FALSE,male,18,victualling crew,S,England,NA,NA,NA,NA,yes,Victualling Crew,,13*,Unmarried,,
Balls,Mrs.,Ada Elizabeth,TRUE,female,36,,,,,,,,,2nd Class Passenger,"28551
£13",10*,Widowed,,
Banfi,Mr.,Ugo,TRUE,male,,,,,,,,,,,,,Unmarried,,
Banfield,Mr.,Frederick James,FALSE,male,28,2nd,S,England,34068,10.1,0,0,no,,,,Married,,
Bannon,Mr.,John Joseph,FALSE,male,34,engineering crew,S,England,NA,NA,NA,NA,no,,,,Married,,
Banski,Mrs.,Mara,FALSE,female,31,3rd,S,Hungary,349244,8.1308,0,0,yes,,,,,,
Barbara,Miss.,Saiide,FALSE,female,18,3rd,C,Lebanon,2691,14.0901,0,1,no,,,,,,
Barbara,Mrs.,Catherine David,FALSE,female,45,3rd,C,Lebanon,2691,14.0901,0,1,no,,,,,,
Barber,Miss.,Ellen Mary,FALSE,female,26,1st,S,NA,19877,78.17,0,0,yes,"1st Class Passenger
Servant","19877
£78 17s",6,Unmarried,,
Barker,Mr.,Albert Vale,FALSE,male,19,victualling crew,S,England,NA,NA,NA,NA,no,,,,Unmarried,,
Barker,Mr.,Ernest Thomas,FALSE,male,41,victualling crew,S,England,NA,NA,NA,NA,no,,,,Married,,Cable Ship MacKay Bennett
Barker,Mr.,Reginald Lomond,FALSE,male,42,victualling crew,B,England,NA,NA,NA,NA,no,,,,Married,,
Barkworth,Mr.,Algernon Henry,FALSE,male,47,1st,S,England,27042,30,0,0,yes,1st Class Passenger,"27042
£30",B,Unmarried,,
Barlow,Mr.,Charles Henry,TRUE,male,,,,,,,,,,,,,Married,,
Barlow,Mr.,George,FALSE,male,36,victualling crew,S,England,NA,NA,NA,NA,no,,,,Unmarried,,
Barnes,Mr.,Charles,FALSE,male,29,engineering crew,S,England,NA,NA,NA,NA,no,,,,Unmarried,,
Barnes,Mr.,Frederick Charles,FALSE,male,40,victualling crew,S,England,NA,NA,NA,NA,no,,,,Unmarried,,Cable Ship MacKay Bennett
Barnes,Mr.,John,FALSE,male,40,engineering crew,S,England,NA,NA,NA,NA,no,,,,Married,,
Barnes,Mr.,William John,FALSE,male,,,,,,,,,,,,,Unmarried,,
Barratt,Mr.,Arthur,FALSE,male,16,victualling crew,S,England,NA,NA,NA,NA,no,,,,Unmarried,,
Barrett,Mr.,Frederick William,FALSE,male,29,engineering crew,S,England,NA,NA,NA,NA,no,Engineering Crew,,13,Unmarried,,
Barringer,Mr.,Arthur William,FALSE,male,34,victualling crew,B,England,NA,NA,NA,NA,no,,,,Married,,
Barrow,Mr.,Charles Henry John,TRUE,male,,,,,,,,,,,,,Married,,
Barrows,Mr.,Edward William Peter,TRUE,male,,,,,,,,,,,,,Unmarried,,
Barrows,Mr.,William,FALSE,male,32,victualling crew,S,England,NA,NA,NA,NA,no,,,,,,
Barry,Miss.,Julia,FALSE,female,30,3rd,Q,Ireland,330844,7.1707,0,0,no,,,,Unmarried,,
Bartley,Mr.,Thomas,TRUE,male,,,,,,,,,,,,,Married,,
Barton,Mr.,David John,FALSE,male,22,3rd,S,England,324669,8.01,0,0,no,,,,Unmarried,,
Barton,Mr.,Sidney John,FALSE,male,26,victualling crew,S,England,NA,NA,NA,NA,no,,,,Unmarried,,
Basilico,Mr.,Giovanni,TRUE,male,,,,,,,,,,,,,Unmarried,,
Bassani,Mrs.,Albina,FALSE,female,31,1st,C,Italy,11813,76.051,0,0,yes,"1st Class Passenger
Servant","11813
£76 5s 10d",8,Widowed,,
Bateman,Revd.,Robert James,FALSE,male,52,2nd,S,England,1166,12.1006,0,0,no,,,,Married,,Cable Ship MacKay Bennett
Batoshev,Mr.,Hristo Lalev,FALSE,male,23,3rd,S,Bulgaria,349217,7.1711,0,0,no,,,,,,
Baumann,Mr.,John David,TRUE,male,,,,,,,,,,,,,Unmarried,,
Baxter,Mrs.,Hélène,FALSE,female,50,1st,C,Canada,17558,247.1005,0,1,yes,1st Class Passenger,"17558
£247 10s 5d",6*,Widowed,,
Baxter,Mr.,Quigg Edmond,FALSE,male,24,1st,C,Canada,17558,247.1005,0,1,no,,,,Unmarried,,
Baxter,Mr.,Thomas Ferguson,FALSE,male,55,victualling crew,S,Scotland,NA,NA,NA,NA,no,,,,Married,,Cable Ship MacKay Bennett
Bazzi,Mr.,Narciso,TRUE,male,,,,,,,,,,,,,Unmarried,,
Bazzī,Mr.,Rashīd Al-Hāj 'Adb al-Husayn,TRUE,male,,,,,,,,,,,,,Married,,
Beane,Mr.,Edward,FALSE,male,32,2nd,S,England,2908,26,1,0,yes,2nd Class Passenger,"2908
£26",9*,Married,,
Beattie,Mr.,Francis,TRUE,male,,,,,,,,,,,,,Married,,
Beattie,Mr.,Joseph John,TRUE,male,,,,,,,,,,,,,Married,,
Beattie,Mr.,Thomson,FALSE,male,36,1st,S,Canada,13050,75.041,0,0,no,,,,Unmarried,,
Beauchamp,Mr.,George William,FALSE,male,24,engineering crew,S,England,NA,NA,NA,NA,yes,Engineering Crew,,13,Unmarried,,
Beauchamp,Mr.,Henry James,FALSE,male,44,2nd,S,England,244358,26,0,0,no,,,,Married,,
Beavan,Mr.,William Thomas,FALSE,male,20,3rd,S,England,323951,8.01,0,0,no,,,,Unmarried,,
Becker,Master.,Richard F.,FALSE,male,1,2nd,S,India,230136,39,2,1,yes,2nd Class Passenger,"230136
£39",11,,,
Becker,Miss.,Marion Louise,FALSE,female,4,2nd,S,India,230136,39,2,1,yes,2nd Class Passenger,"230136
£39",11,,,
Becker,Mrs.,Nellie E.,FALSE,female,35,2nd,S,United States,230136,39,0,3,yes,2nd Class Passenger,"230136
£39",11,Widowed,,
Beckwith,Mr.,Richard Leonard,FALSE,male,37,1st,S,United States,11751,52.1101,1,1,yes,1st Class Passenger,"11751
£52 11s 1d",5,Married,,
Beckwith,Mrs.,Sarah Maybell,TRUE,female,46,,,,,,,,,1st Class Passenger,"11751
£52 11s 1d",5,Married,,
Bedford,Mr.,William Barnett,FALSE,male,31,victualling crew,S,England,NA,NA,NA,NA,no,,,,Unmarried,,
Beedem,Mr.,George Arthur,FALSE,male,35,victualling crew,S,England,NA,NA,NA,NA,no,,,,Married,,
Beere,Mr.,William,FALSE,male,19,victualling crew,S,England,NA,NA,NA,NA,no,,,,Unmarried,,
Beesley,Mr.,Lawrence,FALSE,male,34,2nd,S,England,248698,13,0,0,yes,2nd Class Passenger,"248698
£13",13,Widowed,,
Behr,Mr.,Karl Howell,FALSE,male,26,1st,C,United States,111369,30,0,0,yes,1st Class Passenger,"111369
£30",5,Unmarried,,
Bell,Mr.,Joseph,FALSE,male,51,engineering crew,B,England,NA,NA,NA,NA,no,,,,Married,,
Bendell,Mr.,Frank,FALSE,male,24,engineering crew,S,England,NA,NA,NA,NA,no,,,,Unmarried,,
Bengtsson,Mr.,Jan Viktor,TRUE,male,,,,,,,,,,,,,Unmarried,,
Benham,Mr.,Fred John,FALSE,male,30,victualling crew,S,England,NA,NA,NA,NA,no,,,,Unmarried,,
Bennett,Mrs.,Mabel Kate,TRUE,female,33,,,,,,,,,Victualling Crew,,5*,Married,,
Bennett,Mr.,George Alfred,FALSE,male,30,engineering crew,S,England,NA,NA,NA,NA,no,,,,Unmarried,,
Benson,Mr.,William,TRUE,male,,,,,,,,,,,,,Unmarried,,
Bentham,Miss.,Lillian Winifred,TRUE,female,19,,,,,,,,,2nd Class Passenger,"28404
£13",12,Unmarried,,
Benville,Mr.,Edward,FALSE,male,47,engineering crew,S,England,NA,NA,NA,NA,no,,,,Unmarried,,
Berglund,Mr.,Karl Ivar Sven,FALSE,male,22,3rd,S,Finland,4348,9.07,0,0,no,,,,Unmarried,,
Bernardi,Mr.,Battista,TRUE,male,,,,,,,,,,,,,,,Cable Ship MacKay Bennett
Berriman,Mr.,William John,FALSE,male,23,2nd,S,England,28425,13,0,0,no,,,,Unmarried,,
Bertoldo,Mr.,Fioravante Giuseppe,TRUE,male,,,,,,,,,,,,,Unmarried,,
Bessant,Mr.,Edward,FALSE,male,31,victualling crew,S,England,NA,NA,NA,NA,no,,,,Married,,
Bessant,Mr.,William Edward Lowe,FALSE,male,39,engineering crew,S,England,NA,NA,NA,NA,no,,,,Married,,
Bessette,Miss.,Nellie Mayo,FALSE,female,39,1st,C,United States,17760,63.0702,0,0,yes,"1st Class Passenger
Servant","17760
£63 7s 2d",8,Unmarried,,
Best,Mr.,Edwin Alfred,FALSE,male,40,victualling crew,B,England,NA,NA,NA,NA,no,,,,Married,,
Beux,Mr.,David,FALSE,male,26,restaurant staff,S,England,NA,NA,NA,NA,no,,,,,,
Bevis,Mr.,Joseph Henry,FALSE,male,22,engineering crew,S,England,NA,NA,NA,NA,no,,,,Unmarried,,
Biddlecombe,Mr.,Reginald Charles,FALSE,male,31,engineering crew,S,England,NA,NA,NA,NA,no,,,,Married,,
Bidois,Miss.,Rosalie,FALSE,female,46,1st,C,NA,17757,247.1006,0,0,yes,"1st Class Passenger
Servant","17757
£247 10s 6d",4,Unmarried,,
Bietrix,Mr.,George Baptiste,FALSE,male,28,restaurant staff,S,England,NA,NA,NA,NA,no,,,,Unmarried,,
Biggs,Mr.,Edward Charles,FALSE,male,20,engineering crew,S,England,NA,NA,NA,NA,no,,,,Unmarried,,
Billows,Mr.,James,FALSE,male,20,engineering crew,S,England,NA,NA,NA,NA,no,,,,Unmarried,,
Bing,Mr.,Lee,FALSE,male,32,3rd,S,NA,1601,56.0911,0,0,yes,,,,Married,,
Binstead,Mr.,Walter William,FALSE,male,20,engineering crew,S,England,NA,NA,NA,NA,yes,,,,Unmarried,,
Bird,Miss.,Ellen,FALSE,female,31,1st,S,England,17483,221.1507,0,0,yes,"1st Class Passenger
Servant","17483
£221 15s 7d",8*,Unmarried,,
Birkeland,Mr.,Hans Martin Monsen,FALSE,male,21,3rd,S,Norway,312992,7.1506,0,0,no,,,,,,
Birnbaum,Mr.,Jakob,FALSE,male,24,1st,C,NA,13905,26,0,0,no,,,,Unmarried,,Cable Ship MacKay Bennett
Bishop,Mr.,Dickinson H.,FALSE,male,25,1st,C,United States,11967,91.0107,1,0,yes,1st Class Passenger,"11967
£91 1s 7d",7,Married,,
Bishop,Mrs.,Helen Margaret,TRUE,female,19,,,,,,,,,1st Class Passenger,"11967
£91 1s 7d",7,Married,,
Bishop,Mr.,Walter Alexander,FALSE,male,34,victualling crew,B,England,NA,NA,NA,NA,no,,,,Married,,
Bittle,Mr.,Robert,TRUE,male,,,,,,,,,,,,,Married,,
Björklund,Mr.,Ernst Heribert,TRUE,male,,,,,,,,,,,,,Unmarried,,
Björnström-steffansson,Mr.,Mauritz Håkan,TRUE,male,28,,,,,,,,,1st Class Passenger,"110564
£26 11s",D,Unmarried,,
Black,Mr.,D.,FALSE,male,41,engineering crew,S,England,NA,NA,NA,NA,no,,,,Unmarried,,
Black,Mr.,Alexander,FALSE,male,28,engineering crew,S,England,NA,NA,NA,NA,no,,,,,,
Blackman,Mr.,Albert Edward,FALSE,male,23,engineering crew,S,England,NA,NA,NA,NA,no,,,,Unmarried,,
Blackwell,Mr.,Stephen Weart,FALSE,male,45,1st,S,United States,113784,35.1,0,0,no,1st Class Passenger,"113784
£35 10s",,Widowed,,
Blades,Mr.,Frederick Charles,TRUE,male,,,,,,,,,,,,,Unmarried,,
Blair,Mr.,David,TRUE,male,,,,,,,,,,,,,Married,,
Blake,Mr.,John Douglas Stanley George,TRUE,male,,,,,,,,,,,,,Unmarried,,
Blake,Mr.,Percival Albert,FALSE,male,23,engineering crew,S,England,NA,NA,NA,NA,yes,,,,Unmarried,,
Blake,Mr.,Thomas Henry,FALSE,male,37,engineering crew,S,England,NA,NA,NA,NA,no,,,,Married,,
Blake,Mr.,Seaton,FALSE,male,26,engineering crew,B,England,NA,NA,NA,NA,no,,,,,,
Blaney,Mr.,James,FALSE,male,32,engineering crew,S,Northern Ireland,NA,NA,NA,NA,no,,,,Unmarried,,
Blank,Mr.,Henry,FALSE,male,39,1st,C,United States,112277,31,0,0,yes,1st Class Passenger,"112277
£31",7*,Married,,
Blann,Mr.,Eustace Horatius,FALSE,male,22,engineering crew,S,England,NA,NA,NA,NA,no,,,,Unmarried,,
Bliss,Mrs.,Emma,FALSE,female,45,victualling crew,S,Switzerland,NA,NA,NA,NA,yes,Victualling Crew,,15,Married,,
Bloomer,Mr.,James,TRUE,male,,,,,,,,,,,,,Married,,
Blumet,Mr.,Jean Baptiste,FALSE,male,26,restaurant staff,S,England,NA,NA,NA,NA,no,,,,,,
